x1,x2
300,100%
301,73%
302,80%
303,83%
304,87%
305,63%
306,95%
307,N/A
308,81%
309,85%
310,85%
311,87%
312,77%
313,70%
314,N/A
315,N/A
316,64%
317,58%
318,48%
319,N/A
320,98%
321,77%
322,N/A
323,87%
324,88%
325,N/A
326,67%
327,68%
328,92%
329,86%
330,86%
331,84%
332,92%
333,76%
334,88%
335,77%
336,94%
337,85%
338,94%
339,73%
340,72%
341,72%
342,86%
343,N/A
344,N/A
345,N/A
346,84%
347,88%
348,87%
349,73%
350,94%
351,63%
352,21%
353,42%
354,77%
355,87%
356,52%
357,81%
358,N/A
359,80%
360,N/A
361,38%
362,42%
363,71%
364,17%
365,87%
366,48%
367,50%
368,47%
369,N/A
370,65%
371,N/A
372,32%
373,82%
374,87%
375,89%
376,63%
377,97%
378,N/A
379,86%
380,85%
381,74%
382,42%
383,85%
384,81%
385,77%
386,N/A
387,76%
388,94%
389,23%
390,93%
391,93%
392,66%
393,67%
394,81%
395,82%
396,99%
397,99%
398,N/A
399,90%
400,83%
401,74%
402,91%
403,N/A
404,80%
405,85%
406,77%
407,80%
408,85%
409,N/A
410,N/A
411,88%
412,95%
413,59%
414,82%
415,27%
416,67%
417,78%
418,89%
419,74%
420,79%
421,72%
422,77%
423,53%
424,78%
425,90%
426,89%
427,95%
428,85%
429,29%
430,52%
431,63%
432,84%
433,84%
434,93%
435,69%
436,88%
437,39%
438,93%
439,79%
440,83%
441,86%
442,92%
443,71%
444,69%
445,10%
446,92%
447,88%
448,66%
449,76%
450,77%
451,37%
452,94%
453,85%
454,95%
455,87%
456,69%
457,37%
458,94%
459,90%
460,81%
461,93%
462,94%
463,84%
464,72%
465,83%
466,89%
467,84%
468,53%
469,58%
470,69%
471,46%
472,85%
473,81%
474,74%
475,93%
476,77%
477,82%
478,54%
479,77%
480,54%
481,94%
482,13%
483,27%
484,92%
485,60%
486,59%
487,87%
488,65%
489,74%
490,85%
491,82%
492,60%
493,84%
494,71%
495,57%
496,93%
497,70%
498,71%
499,61%
500,71%
501,32%
502,84%
503,73%
504,85%
505,95%
506,87%
507,87%
508,86%
509,76%
510,90%
511,83%
512,76%
513,90%
514,94%
515,92%
516,91%
517,84%
518,74%
519,99%
520,83%
521,74%
522,85%
523,87%
524,82%
525,95%
526,51%
527,86%
528,87%
529,76%
530,85%
531,47%
532,92%
533,61%
534,87%
535,98%
536,97%
537,62%
538,97%
539,79%
540,88%
541,94%
542,66%
543,74%
544,71%
545,47%
546,89%
547,89%
548,85%
549,85%
550,40%
551,70%
552,86%
